Invoice ID;Branch;City;Customer type;Gender;Product line;Unit price;Quantity;Tax 5%;Total;Date;Time;Payment;cogs;gross margin percentage;gross income;Rating
750-67-8428;A;Yangon;Member;Female;Health and beauty;74.69;7;261.415;5.489.715;01.05.2019;13:08;Ewallet;522.83;4.761.904.762;261.415;09.Oca
631-41-3108;A;Yangon;Normal;Male;Home and lifestyle;46.33;7;162.155;3.405.255;03.03.2019;13:23;Credit card;324.31;4.761.904.762;162.155;07.Nis
123-19-1176;A;Yangon;Member;Male;Health and beauty;58.22;8;23.288;489.048;1/27/2019;20:33;Ewallet;465.76;4.761.904.762;23.288;08.Nis
373-73-7910;A;Yangon;Normal;Male;Sports and travel;86.31;7;302.085;6.343.785;02.08.2019;10:37;Ewallet;604.17;4.761.904.762;302.085;05.Mar
699-14-3026;C;Naypyitaw;Normal;Male;Electronic accessories;85.39;7;298.865;6.276.165;3/25/2019;18:30;Ewallet;597.73;4.761.904.762;298.865;04.Oca
355-53-5943;A;Yangon;Member;Female;Electronic accessories;68.84;6;20.652;433.692;2/25/2019;14:36;Ewallet;413.04;4.761.904.762;20.652;05.Aðu
665-32-9167;A;Yangon;Member;Female;Health and beauty;36.26;2;3.626;76.146;01.10.2019;17:15;Credit card;72.52;4.761.904.762;3.626;07.Þub
692-92-5582;B;Mandalay;Member;Female;Food and beverages;54.84;3;8.226;172.746;2/20/2019;13:27;Credit card;164.52;4.761.904.762;8.226;05.Eyl
351-62-0822;B;Mandalay;Member;Female;Fashion accessories;14.48;4;2.896;60.816;02.06.2019;18:07;Ewallet;57.92;4.761.904.762;2.896;04.May
529-56-3974;B;Mandalay;Member;Male;Electronic accessories;25.51;4;5.102;107.142;03.09.2019;17:03;Cash;102.04;4.761.904.762;5.102;06.Aðu
365-64-0515;A;Yangon;Normal;Female;Electronic accessories;46.95;5;117.375;2.464.875;02.12.2019;10:25;Ewallet;234.75;4.761.904.762;117.375;07.Oca
